City,State,Region,Country,Post Code,Title,Creator,Owner,Value,Currency,Weighted value,Currency of Weighted value,Probability,Organization,Pipeline,Contact person,Stage,Deal created,Update time,Last stage change,Next activity date,Last activity date,Won time,Last email received,Last email sent,Lost time,Deal closed on,Expected close date,Status,Lost reason,Visible to,ID,Total activities,Done activities,Activities to do,Email messages count,Label,Product quantity,Product amount
Burbank,California,Los Angeles County,United States,91501,,Admin,Admin,5000,USD,250,USD,5,,Sales,,Discussion,2021-05-24 12:20:15,2021-05-24 23:08:10,2021-05-24 23:08:02,2021-06-08,2021-05-25,,,2021-05-24 23:07:48,,,,Open,,entire company,13358,1,0,1,0,,,
Prosper,Texas,Denton County,United States,75078,,Salesperson 1,Salesperson 1,7500,USD,0,USD,,,Sales,,New Lead,2021-05-24 11:40:30,2021-05-25 03:15:21,2021-05-25 03:09:56,2021-07-29,2021-05-25,,,2021-05-25 03:14:30,,,,Open,,entire company,13357,1,0,1,0,,,
Los Angeles,California,Los Angeles County,United States,90036,,Salesperson 3,Salesperson 3,7500,USD,75,USD,,,Sales,,Enquiry,2021-05-24 11:20:35,2021-05-25 03:36:22,2021-05-25 02:53:57,2021-06-15,2021-05-25,,,2021-05-25 02:53:27,,,,Open,,entire company,13355,4,2,2,1,,,
Costa Mesa,California,Orange County,United States,92626,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-24 11:04:23,2021-05-25 02:51:52,2021-05-25 02:51:39,2021-06-08,2021-05-25,,,2021-05-25 02:51:32,,,,Open,,entire company,13354,1,0,1,0,,,
San Bernardino,California,San Bernardino County,United States,92411,,Salesperson 3,Salesperson 3,15000,USD,3000,USD,20,,Sales,,Discussion,2021-05-24 11:04:04,2021-05-24 11:04:20,,,,,,,,,,Open,,entire company,13353,1,0,1,1,,,
Hackensack,New Jersey,Bergen County,United States,07601,,Salesperson 6,Salesperson 6,5000,USD,750,USD,15,,Sales,,Discussion,2021-05-24 10:43:30,2021-05-25 02:46:24,2021-05-25 02:46:17,2021-06-16,2021-05-25,,,2021-05-25 02:46:10,,,,Open,,entire company,13352,1,0,1,0,,,
New York,New York,New York County,United States,10033,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-24 10:16:51,2021-05-25 04:27:30,2021-05-25 04:27:23,2021-06-08,2021-05-25,,,2021-05-25 04:27:10,,,,Open,,entire company,13351,1,0,1,0,,,
Scotchtown,New York,Orange County,United States,10941,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-24 09:54:55,2021-05-25 05:43:51,2021-05-25 02:49:00,2021-08-12,2021-05-25,,,2021-05-25 02:54:18,,,,Open,,entire company,13349,3,2,1,1,,,
Los Angeles,California,Los Angeles County,United States,91344,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-24 09:48:28,2021-05-25 02:47:13,2021-05-25 02:45:13,2021-06-16,2021-05-25,,,2021-05-25 02:47:06,,,,Open,,entire company,13347,1,1,0,0,,,
Bakersfield,California,Kern County,United States,93312,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-24 08:40:16,2021-05-25 04:34:29,2021-05-24 03:41:02,2021-06-02,2021-05-24,,,2021-05-24 03:46:11,,,,Open,,entire company,13345,2,1,1,1,,,
Ossining,New York,Westchester County,United States,10562,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-24 07:43:58,2021-05-25 01:53:50,2021-05-25 01:53:50,2021-06-11,2021-05-25,,,2021-05-25 01:50:40,,,,Open,,entire company,13344,1,1,0,0,,,
Clifton,New Jersey,Passaic County,United States,07013,,Salesperson 3,Salesperson 3,7500,USD,75,USD,,,Sales,,Enquiry,2021-05-24 07:42:37,2021-05-25 01:58:13,,,,,,,2021-05-25 01:58:11,2021-05-25 01:58:11,,Lost,Unresponsive,entire company,13343,4,2,2,1,,,
Far Hills,New Jersey,Somerset County,United States,07931,,Salesperson 2,Salesperson 2,7500,USD,0,USD,,,Sales,,New Lead,2021-05-24 07:18:32,2021-05-25 00:00:45,2021-05-24 23:58:30,2021-06-01,2021-05-25,,,2021-05-25 00:00:32,,,,Open,,entire company,13342,2,1,1,0,,,
Bridgeport,Connecticut,Fairfield County,United States,06606,,Salesperson 1,Salesperson 1,5000,USD,4000,USD,80,,Sales,,Discussion,2021-05-24 06:36:57,2021-05-24 06:37:10,,,,,,,,,,Open,,entire company,13341,4,4,0,5,,,
Norwalk,Connecticut,Fairfield County,United States,06850,,Salesperson 2,Salesperson 2,7500,USD,0,USD,,,Sales,,New Lead,2021-05-24 06:16:40,2021-05-24 07:04:40,,,2021-05-24,2021-05-24 06:52:53,2021-05-24 07:02:49,,,2021-05-24 06:52:53,,Won,,entire company,13339,2,1,1,0,,,
Seaford,New York,Nassau County,United States,11783,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-24 05:55:43,2021-05-25 00:08:22,2021-05-25 00:05:25,2021-06-01,2021-05-25,,,2021-05-25 00:07:57,,,,Open,,entire company,13338,1,1,0,0,,,
Culver City,California,Los Angeles County,United States,90230,,Salesperson 3,Salesperson 3,7500,USD,300,USD,,,Sales,,Discussion,2021-05-24 05:00:16,2021-05-25 05:43:13,2021-05-24 06:45:50,2021-06-10,2021-05-24,,,,,,,Open,,entire company,13337,4,3,1,1,,,
Long Beach,California,Los Angeles County,United States,90802,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-24 04:51:53,2021-05-24 05:08:23,2021-05-24 05:08:23,2021-06-11,2021-05-24,,,,,,,Open,,entire company,13336,2,0,2,0,,,
Los Angeles,California,Los Angeles County,United States,91607,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-24 03:23:32,2021-05-24 03:23:50,,,,,,,,,,Open,,entire company,13335,3,2,1,1,,,
Irvington,New Jersey,Essex County,United States,07111,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-24 01:52:12,2021-05-24 05:21:05,2021-05-24 05:20:07,2021-05-31,2021-05-24,,,2021-05-24 05:20:48,,,,Open,,entire company,13334,2,0,2,0,,,
Summerville,South Carolina,Berkeley County,United States,29486,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-23 23:29:28,2021-05-24 09:50:14,,,,,,,,,,Open,,entire company,13332,2,0,2,0,,,
Indio,California,Riverside County,United States,92201,,Salesperson 2,Salesperson 2,7500,USD,0,USD,,,Sales,,New Lead,2021-05-23 23:21:32,2021-05-24 23:12:49,2021-05-24 04:45:14,,2021-05-25,,,,2021-05-24 23:12:49,2021-05-24 23:12:49,,Lost,Unresponsive,entire company,13331,2,1,1,0,,,
Castaic,California,Los Angeles County,United States,91384,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-23 23:02:38,2021-05-25 00:52:40,2021-05-24 01:24:49,2021-06-02,2021-05-25,,2021-05-24 00:31:18,2021-05-24 01:25:33,,,,Open,,entire company,13329,2,0,2,0,,,
Paramount,California,Los Angeles County,United States,90723,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-23 22:19:55,2021-05-24 09:50:14,,,,,,,,,,Open,,entire company,13328,2,0,2,0,,,
Clementon,New Jersey,Camden County,United States,08021,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-23 21:36:16,2021-05-23 21:36:28,,,,,,,,,,Open,,entire company,13327,2,0,2,0,,,
New York,New York,New York County,United States,10030,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-23 21:24:37,2021-05-23 21:24:45,,,,,,,,,,Open,,entire company,13326,1,1,0,0,,,
Compton,California,Los Angeles County,United States,90221,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,Hot Pipeline,2021-05-23 21:14:11,2021-05-24 06:01:07,2021-05-24 05:54:55,2021-06-17,2021-05-24,,,2021-05-24 06:00:43,,,,Open,,entire company,13325,2,1,1,1,,,
Los Angeles,California,Los Angeles County,United States,90731,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-23 20:42:31,2021-05-24 00:00:25,2021-05-24 00:00:25,2021-05-24,2021-05-24,,,,,,,Open,,entire company,13324,3,2,1,1,,,
Milwaukee,Wisconsin,Milwaukee County,United States,53206,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-23 20:31:09,2021-05-25 05:44:04,2021-05-25 04:11:42,2021-06-08,2021-05-25,,,2021-05-25 04:14:15,,,,Open,,entire company,13323,2,0,2,0,,,
New York,New York,New York County,United States,10012,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-23 19:58:27,2021-05-25 07:09:16,2021-05-25 07:09:15,2021-05-24,2021-05-26,,,,,,,Open,,entire company,13322,2,0,2,0,,,
New York,New York,New York County,United States,10038,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-23 19:24:24,2021-05-25 06:59:52,2021-05-25 02:08:02,2021-06-08,2021-05-25,,,,,,,Open,,entire company,13321,1,1,0,0,,,
Palmdale,California,Los Angeles County,United States,93550,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-23 15:45:59,2021-05-24 09:49:05,,,,,,,,,,Open,,entire company,13320,2,0,2,0,,,
Lithia Springs,Georgia,Douglas County,United States,30122,,Admin,Admin,7500,USD,0,USD,,,Sales,,New Lead,2021-05-23 13:41:49,2021-05-23 22:33:19,2021-05-23 22:22:17,2021-05-25,2021-05-24,,,2021-05-23 22:29:02,,,,Open,,entire company,13319,0,0,0,0,,,
Greenwich,Connecticut,Fairfield County,United States,06830,,Salesperson 3,Salesperson 3,5000,USD,750,USD,15,,Sales,,Discussion,2021-05-23 12:43:49,2021-05-24 23:22:09,2021-05-24 23:18:13,2021-05-27,2021-05-25,,,2021-05-24 23:20:48,,,,Open,,entire company,13318,1,0,1,1,,,
Chino Hills,California,San Bernardino County,United States,91709,,Salesperson 1,Salesperson 1,10000,USD,1500,USD,15,,Sales,,Hot Pipeline,2021-05-23 12:14:56,2021-05-25 04:09:39,2021-05-25 04:09:32,2021-06-08,2021-05-25,,,2021-05-25 04:09:18,,,,Open,,entire company,13316,3,2,1,2,,,
Vacaville,California,Solano County,United States,95687,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-23 11:47:49,2021-05-24 09:50:14,,,,,,,,,,Open,,entire company,13315,2,0,2,0,,,
Newark,New Jersey,Essex County,United States,07108,,Salesperson 3,Salesperson 3,7500,USD,300,USD,,,Sales,,Discussion,2021-05-23 11:31:02,2021-05-24 08:04:38,2021-05-24 08:04:38,2021-06-24,2021-05-24,,,2021-05-24 03:05:35,,,,Open,,entire company,13314,4,3,1,3,,,
Mission Viejo,California,Orange County,United States,92691,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-23 11:25:12,2021-05-24 04:05:23,2021-05-24 04:01:39,2021-06-03,2021-05-24,,,2021-05-24 04:02:22,,,,Open,,entire company,13313,3,2,1,1,,,
Great Neck,New York,Nassau County,United States,11024,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-23 11:22:53,2021-05-25 06:47:00,2021-05-25 01:48:37,2021-05-25,2021-05-25,,,,,,,Open,,entire company,13312,1,0,1,0,,,
Grand Terrace,California,San Bernardino County,United States,92313,,Salesperson 2,Salesperson 2,7500,USD,0,USD,,,Sales,,New Lead,2021-05-23 10:39:58,2021-05-25 05:44:00,2021-05-25 04:06:20,2021-06-08,2021-05-25,,,2021-05-25 04:06:09,,,,Open,,entire company,13311,2,2,0,0,,,
Tracy,California,San Joaquin County,United States,95376,,Salesperson 3,Salesperson 3,7500,USD,75,USD,,,Sales,,Enquiry,2021-05-23 10:38:28,2021-05-24 04:56:38,2021-05-24 03:54:06,2021-07-01,2021-05-24,,,2021-05-24 03:56:30,,,,Open,,entire company,13310,4,3,1,1,,,
New Rochelle,New York,Westchester County,United States,10804,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-23 08:33:20,2021-05-25 04:03:06,2021-05-25 04:03:00,2021-06-08,2021-05-25,,,2021-05-25 04:02:49,,,,Open,,entire company,13309,2,1,1,1,,,
Oxnard,California,Ventura County,United States,93030,,Salesperson 2,Salesperson 2,7500,USD,0,USD,,,Sales,,New Lead,2021-05-23 08:27:02,2021-05-24 03:51:07,2021-05-24 03:48:53,2021-07-01,2021-05-24,,,2021-05-24 03:51:02,,,,Open,,entire company,13308,2,2,0,0,,,
Bethel Island,California,Contra Costa County,United States,94511,,Salesperson 2,Salesperson 2,7500,USD,0,USD,,,Sales,,New Lead,2021-05-23 08:10:39,2021-05-23 08:10:58,,,,,,,,,,Open,,entire company,13307,2,2,0,0,,,
Franklin Lakes,New Jersey,Bergen County,United States,07417,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-23 07:57:53,2021-05-24 02:09:35,2021-05-24 02:09:22,2021-05-26,2021-05-24,,,2021-05-24 02:08:28,,,2021-06-30,Open,,entire company,13306,2,0,2,0,,,
Monterey Park,California,Los Angeles County,United States,91754,,Salesperson 2,Salesperson 2,7500,USD,0,USD,,,Sales,,New Lead,2021-05-23 07:42:31,2021-05-25 01:24:50,2021-05-25 01:21:09,2021-06-01,2021-05-25,,,,,,,Open,,entire company,13305,2,1,1,0,,,
Los Angeles,California,Los Angeles County,United States,90744,,Salesperson 6,Salesperson 6,7500,USD,75,USD,,,Sales,,Enquiry,2021-05-23 07:29:24,2021-05-24 04:57:29,2021-05-24 03:51:18,2021-06-09,2021-05-24,,,,,,,Open,,entire company,13304,3,2,1,0,,,
North Brunswick Township,New Jersey,Middlesex County,United States,08902,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,Discussion,2021-05-23 06:51:10,2021-05-24 03:51:07,2021-05-24 03:42:52,2021-07-02,2021-05-24,,,2021-05-24 03:45:21,,,,Open,,entire company,13303,4,3,1,0,,,
Lighthouse Point,Florida,Broward County,United States,33064,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-23 05:59:57,2021-05-25 01:48:06,2021-05-25 01:43:37,2021-07-02,2021-05-25,,,2021-05-25 01:47:30,,,,Open,,entire company,13302,3,2,1,1,,,
Lacey Township,New Jersey,Ocean County,United States,08731,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-23 05:40:48,2021-05-24 23:11:08,,,,,,,,,,Open,,entire company,13300,2,0,2,0,,,
Ontario,California,San Bernardino County,United States,91762,,Salesperson 2,Salesperson 2,7500,USD,0,USD,,,Sales,,New Lead,2021-05-23 05:12:46,2021-05-24 05:52:37,2021-05-24 05:50:47,2021-06-09,2021-05-24,,,2021-05-24 05:52:16,,,,Open,,entire company,13299,2,2,0,0,,,
New York,New York,New York County,United States,10463,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-23 05:05:20,2021-05-25 03:45:37,2021-05-24 05:42:23,2021-06-24,2021-05-24,,2021-05-24 05:47:42,2021-05-24 05:47:23,,,,Open,,entire company,13298,2,1,1,1,,,
Mission Viejo,California,Orange County,United States,92692,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-23 04:46:49,2021-05-24 04:56:28,2021-05-24 03:24:02,2021-07-01,2021-05-24,,,2021-05-24 03:26:47,,,,Open,,entire company,13297,2,0,2,0,,,
Modesto,California,Stanislaus County,United States,95355,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-23 03:55:03,2021-05-24 05:41:46,2021-05-24 05:41:46,2021-06-10,2021-05-24,,,2021-05-24 05:40:50,,,,Open,,entire company,13296,2,0,2,0,,,
Los Angeles,California,Los Angeles County,United States,90077,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-23 03:41:26,2021-05-25 03:58:28,2021-05-25 03:58:20,2021-06-08,2021-05-25,,,2021-05-25 03:58:07,,,,Open,,entire company,13295,3,2,1,1,,,
